"raws","Date","FirstWinner","FirstWinnerLast2Digits","FirstWinnerLast3Digits","2DigitsWinner","3DigitsWinner(1A)","3DigitsWinner(2A)","3DigitsWinner(1B)","3DigitsWinner(2B)"
"16/10/25656131060610615037158606799","16/10/2565","613106","06","106","15","037","158","606","799"
"01/10/25654846696966950206996194278","01/10/2565","484669","69","669","50","206","996","194","278"
"16/09/25659437030370375540971432631","16/09/2565","943703","03","703","75","540","971","432","631"
"01/09/25659293323233283298725210604","01/09/2565","929332","32","332","83","298","725","210","604"
"16/08/25653315838358342271300284876","16/08/2565","331583","83","583","42","271","300","284","876"
"01/08/25654365949459414266893282447","01/08/2565","436594","94","594","14","266","893","282","447"
"16/07/25656204050540553159834061279","16/07/2565","620405","05","405","53","159","834","061","279"
"01/07/25659814171741761242287002542","01/07/2565","981417","17","417","61","242","287","002","542"
"16/06/25653618070780792285549106228","16/06/2565","361807","07","807","92","285","549","106","228"
"01/06/25653191969619602679817213652","01/06/2565","319196","96","196","02","679","817","213","652"
"16/05/25651550121201206247736236540","16/05/2565","155012","12","012","06","247","736","236","540"
"02/05/25656586424264209518778041325","02/05/2565","658642","42","642","09","518","778","041","325"
"16/04/25653959191991958289859413508","16/04/2565","395919","19","919","58","289","859","413","508"
"01/04/25659706181861810391738578870","01/04/2565","970618","18","618","10","391","738","578","870"
"16/03/25657378676786703349985788989","16/03/2565","737867","67","867","03","349","985","788","989"
"01/03/25650619050590507236834234691","01/03/2565","061905","05","905","07","236","834","234","691"
"17/02/25650985979759757085644592816","17/02/2565","098597","97","597","57","085","644","592","816"
"01/02/25659443080830830061942485509","01/02/2565","944308","08","308","30","061","942","485","509"
"17/01/25658801595915992731786119529","17/01/2565","880159","59","159","92","731","786","119","529"
"30/12/25648190686806836591979419547","30/12/2564","819068","68","068","36","591","979","419","547"
"16/12/25646392353523583097629476522","16/12/2564","639235","35","235","83","097","629","476","522"
"01/12/25640772585825882739740401485","01/12/2564","077258","58","258","82","739","740","401","485"
"16/11/25640327616176157471648245844","16/11/2564","032761","61","761","57","471","648","245","844"
"01/11/25640450373703795247458331755","01/11/2564","045037","37","037","95","247","458","331","755"
"16/10/25643863727237238602964295798","16/10/2564","386372","72","372","38","602","964","295","798"
"01/10/25645781717117183285361379449","01/10/2564","578171","71","171","83","285","361","379","449"
"16/09/25640709353593590609817007379","16/09/2564","070935","35","935","90","609","817","007","379"
"01/09/25641144757547579278302123458","01/09/2564","114475","75","475","79","278","302","123","458"
"16/08/25640467505075023421666160355","16/08/2564","046750","50","750","23","421","666","160","355"
"01/08/25649102616126169103307004785","01/08/2564","910261","61","261","69","103","307","004","785"
"16/07/25645567252572570058174233927","16/07/2564","556725","25","725","70","058","174","233","927"
"01/07/25647135171751729073794414511","01/07/2564","713517","17","517","29","073","794","414","511"
"16/06/25646918616186117007054447668","16/06/2564","691861","61","861","17","007","054","447","668"
"01/06/25642929727297245193620723978","01/06/2564","292972","72","972","45","193","620","723","978"
"16/05/25646845797957914615843276970","16/05/2564","684579","79","579","14","615","843","276","970"
"02/05/25645012727227218018306129498","02/05/2564","501272","72","272","18","018","306","129","498"
"16/04/25641007878778756013143264478","16/04/2564","100787","87","787","56","013","143","264","478"
"01/04/25644722707027005283755393577","01/04/2564","472270","70","270","05","283","755","393","577"
"16/03/25648904222242219036902256396","16/03/2564","890422","22","422","19","036","902","256","396"
"01/03/25648355383853873290838051806","01/03/2564","835538","38","538","73","290","838","051","806"
"16/02/25644246030360339318861057817","16/02/2564","424603","03","603","39","318","861","057","817"
"01/02/25649123070730797248605282651","01/02/2564","912307","07","307","97","248","605","282","651"
"17/01/25643843959539515367653566878","17/01/2564","384395","95","395","15","367","653","566","878"
"30/12/25638036282862819336804321924","30/12/2563","803628","28","628","19","336","804","321","924"
"16/12/25632013030330370377828072517","16/12/2563","201303","03","303","70","377","828","072","517"
"01/12/25631009949499484093776834984","01/12/2563","100994","94","994","84","093","776","834","984"
"16/11/25639726616166146368741208255","16/11/2563","972661","61","661","46","368","741","208","255"
"01/11/25635064040440440154598062245","01/11/2563","506404","04","404","40","154","598","062","245"
"16/10/25632860515105138189464045980","16/10/2563","286051","51","051","38","189","464","045","980"
"01/10/25638378939389359594757110595","01/10/2563","837893","93","893","59","594","757","110","595"
"16/09/25632440838308357127220623853","16/09/2563","244083","83","083","57","127","220","623","853"
"01/09/25639999979799798636725342957","01/09/2563","999997","97","997","98","636","725","342","957"
"16/08/25639458111181188614712364733","16/08/2563","945811","11","811","88","614","712","364","733"
"01/08/25635693919139192575931578809","01/08/2563","569391","91","391","92","575","931","578","809"
"16/07/25638732868628653510533494682","16/07/2563","873286","86","286","53","510","533","494","682"
"01/07/25633472585825883095362094307","01/07/2563","347258","58","258","83","095","362","094","307"
"16/06/25635169676796764876882565625","16/06/2563","516967","67","967","64","876","882","565","625"
"01/06/25638315676756724264489562582","01/06/2563","831567","67","567","24","264","489","562","582"
"01/04/25630510959509522285430191364","01/04/2563","051095","95","095","22","285","430","191","364"
"16/03/25635034464644677258726404661","16/03/2563","503446","46","446","77","258","726","404","661"
"01/03/25638759383893898294328597780","01/03/2563","875938","38","938","98","294","328","597","780"
"16/02/25637814030340394515952030918","16/02/2563","781403","03","403","94","515","952","030","918"
"01/02/25635892272722706259552375927","01/02/2563","589227","27","227","06","259","552","375","927"
"17/01/25634917747477468004132379595","17/01/2563","491774","74","774","68","004","132","379","595"
"30/12/25625105414154181116382140250","30/12/2562","510541","41","541","81","116","382","140","250"
"16/12/25625299242492497043138555665","16/12/2562","529924","24","924","97","043","138","555","665"
"01/12/25624535222252281261617013457","01/12/2562","453522","22","522","81","261","617","013","457"
"16/11/25620172232322332164640085194","16/11/2562","017223","23","223","32","164","640","085","194"
"01/11/25629673757537579323806021206","01/11/2562","967375","75","375","79","323","806","021","206"
"16/10/25628125646456415255625132598","16/10/2562","812564","64","564","15","255","625","132","598"
"01/10/25626911979719759392920606797","01/10/2562","691197","97","197","59","392","920","606","797"
"16/09/25623403888838885733947925939","16/09/2562","340388","88","388","85","733","947","925","939"
"01/09/25627987878778720210847274439","01/09/2562","798787","87","787","20","210","847","274","439"
"16/08/25627754767647689149912563580","16/08/2562","775476","76","476","89","149","912","563","580"
"01/08/25623870060600658135983562795","01/08/2562","387006","06","006","58","135","983","562","795"
"15/07/25623697656576588355901113556","15/07/2562","369765","65","765","88","355","901","113","556"
"01/07/25629436474764786239864006375","01/07/2562","943647","47","647","86","239","864","006","375"
"16/06/25621740555505529625884127800","16/06/2562","174055","55","055","29","625","884","127","800"
"01/06/25625164616146146589713215560","01/06/2562","516461","61","461","46","589","713","215","560"
"16/05/25629625262652671669949018828","16/05/2562","962526","26","526","71","669","949","018","828"
"02/05/25620613242432425043476374699","02/05/2562","061324","24","324","25","043","476","374","699"
"16/04/25625703313133123512930966968","16/04/2562","570331","31","331","23","512","930","966","968"
"01/04/25621097676776752888959403975","01/04/2562","109767","67","767","52","888","959","403","975"
"16/03/25627246282862864148883154877","16/03/2562","724628","28","628","64","148","883","154","877"
"01/03/25623456505065065137999830837","01/03/2562","345650","50","650","65","137","999","830","837"
"16/02/25620748242482456881910612879","16/02/2562","074824","24","824","56","881","910","612","879"
"01/02/25629671343413404643779197948","01/02/2562","967134","34","134","04","643","779","197","948"
"17/01/25621970797907965206412127660","17/01/2562","197079","79","079","65","206","412","127","660"
"30/12/25617358676786702031913701884","30/12/2561","735867","67","867","02","031","913","701","884"
"16/12/25613565646456462480948297369","16/12/2561","356564","64","564","62","480","948","297","369"
"01/12/25610218404084067045307561988","01/12/2561","021840","40","840","67","045","307","561","988"
"16/11/25619899030390316471930140876","16/11/2561","989903","03","903","16","471","930","140","876"
"01/11/25611498404084058384576046509","01/11/2561","149840","40","840","58","384","576","046","509"
"16/10/25612005151551593186392192212","16/10/2561","200515","15","515","93","186","392","192","212"
"01/10/25614526434364399594726561810","01/10/2561","452643","43","643","99","594","726","561","810"
"16/09/25611497606076079323539155297","16/09/2561","149760","60","760","79","323","539","155","297"
"01/09/25617345101051026464512097202","01/09/2561","734510","10","510","26","464","512","097","202"
"16/08/25615861171711710340670591815","16/08/2561","586117","17","117","10","340","670","591","815"
"01/08/25613866020260278832903549726","01/08/2561","386602","02","602","78","832","903","549","726"
"16/07/25615963242432427403530138362","16/07/2561","596324","24","324","27","403","530","138","362"
"01/07/25619636232362383429901210217","01/07/2561","963623","23","623","83","429","901","210","217"
"16/06/25612231313113146432507132868","16/06/2561","223131","31","131","46","432","507","132","868"
"01/06/25619881171711795310553248650","01/06/2561","988117","17","117","95","310","553","248","650"
"16/05/25610756292962920130357047506","16/05/2561","075629","29","629","20","130","357","047","506"
"02/05/25612480383803885527980225602","02/05/2561","248038","38","038","85","527","980","225","602"
"16/04/25617392292922960273654076526","16/04/2561","739229","29","229","60","273","654","076","526"
"01/04/25614120737307385131787638924","01/04/2561","412073","73","073","85","131","787","638","924"
"16/03/25612185595955982064720205489","16/03/2561","218559","59","559","82","064","720","205","489"
"02/03/25617594151541529318870589723","02/03/2561","759415","15","415","29","318","870","589","723"
"16/02/25613099151591539007388230748","16/02/2561","309915","15","915","39","007","388","230","748"
"01/02/25610268535385331106947181519","01/02/2561","026853","53","853","31","106","947","181","519"
"17/01/25612038232382350624799236397","17/01/2561","203823","23","823","50","624","799","236","397"
"30/12/25609112343423498373495504953","30/12/2560","911234","34","234","98","373","495","504","953"
"16/12/25609555969659689616836290938","16/12/2560","955596","96","596","89","616","836","290","938"
"01/12/25604510050500533303626257601","01/12/2560","451005","05","005","33","303","626","257","601"
"16/11/25602923919139198831961477628","16/11/2560","292391","91","391","98","831","961","477","628"
"01/11/25605337262672685165425036485","01/11/2560","533726","26","726","85","165","425","036","485"
"16/10/25604134949449486180971128287","16/10/2560","413494","94","494","86","180","971","128","287"
"01/10/25608807141471452611726462952","01/10/2560","880714","14","714","52","611","726","462","952"
"16/09/25601701434314371172647340388","16/09/2560","170143","43","143","71","172","647","340","388"
"01/09/25601432242422465345679195278","01/09/2560","143224","24","224","65","345","679","195","278"
"16/08/25607154313143137115302253945","16/08/2560","715431","31","431","37","115","302","253","945"
"01/08/25607565191951936061386787989","01/08/2560","756519","19","519","36","061","386","787","989"
"16/07/25608203272732787584835390823","16/07/2560","820327","27","327","87","584","835","390","823"
"01/07/25601123606036026226489005688","01/07/2560","112360","60","360","26","226","489","005","688"
"16/06/25609431424214247626878373740","16/06/2560","943142","42","142","47","626","878","373","740"
"01/06/25600536303063061121218581881","01/06/2560","053630","30","630","61","121","218","581","881"
"16/05/25604548919189153008396490603","16/05/2560","454891","91","891","53","008","396","490","603"
"02/05/25600086565665635573949773923","02/05/2560","008656","56","656","35","573","949","773","923"
"16/04/25608167292972940766973241807","16/04/2560","816729","29","729","40","766","973","241","807"
"01/04/25603927858578580020057500709","01/04/2560","392785","85","785","80","020","057","500","709"
"16/03/25602738636386392324918694941","16/03/2560","273863","63","863","92","324","918","694","941"
"01/03/25609784535345378450560052577","01/03/2560","978453","53","453","78","450","560","052","577"
"16/02/25602291161611614128464375953","16/02/2560","229116","16","116","14","128","464","375","953"
"01/02/25600546727267242066807426628","01/02/2560","054672","72","672","42","066","807","426","628"
"17/01/25601451575715725511663516836","17/01/2560","145157","57","157","25","511","663","516","836"
"30/12/25593777121271246304890477769","30/12/2559","377712","12","712","46","304","890","477","769"
"16/12/25594352868628635366596199716","16/12/2559","435286","86","286","35","366","596","199","716"
"01/12/25590860696906977513873148450","01/12/2559","086069","69","069","77","513","873","148","450"
"16/11/25598583838338344040682558570","16/11/2559","858383","83","383","44","040","682","558","570"
"01/11/25597854383843886824976038752","01/11/2559","785438","38","438","86","824","976","038","752"
"16/10/25595719474794798692885032587","16/10/2559","571947","47","947","98","692","885","032","587"
"01/10/25598871020210233194280017458","01/10/2559","887102","02","102","33","194","280","017","458"
"16/09/25592406505065042493583043160","16/09/2559","240650","50","650","42","493","583","043","160"
"01/09/25596386848468462334335630669","01/09/2559","638684","84","684","62","334","335","630","669"
"16/08/25592540040400433366966596631","16/08/2559","254004","04","004","33","366","966","596","631"
"01/08/25592729323293257538983472871","01/08/2559","272932","32","932","57","538","983","472","871"
"16/07/25594497646476455552734158925","16/07/2559","449764","64","764","55","552","734","158","925"
"01/07/25590824606046053169609173302","01/07/2559","082460","60","460","53","169","609","173","302"
"16/06/25590738161681679251804321749","16/06/2559","073816","16","816","79","251","804","321","749"
"01/06/25595118252582514111775880937","01/06/2559","511825","25","825","14","111","775","880","937"
"16/05/25591417373773798382975087268","16/05/2559","141737","37","737","98","382","975","087","268"
"02/05/25593994595945902238403046671","02/05/2559","399459","59","459","02","238","403","046","671"
"16/04/25592216090960987008228507523","16/04/2559","221609","09","609","87","008","228","507","523"
"01/04/25590667202072092390546285852","01/04/2559","066720","20","720","92","390","546","285","852"
"16/03/25591349181891832855877004973","16/03/2559","134918","18","918","32","855","877","004","973"
"01/03/25594396868668606426530155743","01/03/2559","439686","86","686","06","426","530","155","743"
"16/02/25593563646436498312699309535","16/02/2559","356364","64","364","98","312","699","309","535"
"01/02/25599278000080009625999054076","01/02/2559","927800","00","800","09","625","999","054","076"
"17/01/25593043717137150031532743786","17/01/2559","304371","71","371","50","031","532","743","786"
"30/12/25580082171721702246264596895","30/12/2558","008217","17","217","02","246","264","596","895"
"17/12/25589302555525508140250094638","17/12/2558","930255","55","255","08","140","250","094","638"
"01/12/25589153505035078238181714175","01/12/2558","915350","50","350","78","238","181","714","175"
"16/11/25587952838328303241028643802","16/11/2558","795283","83","283","03","241","028","643","802"
"01/11/25583612111121145106757166473","01/11/2558","361211","11","211","45","106","757","166","473"
"16/10/25589686303063062457134412054","16/10/2558","968630","30","630","62","457","134","412","054"
"01/10/25585948252582507175918440799","01/10/2558","594825","25","825","07","175","918","440","799"
"16/09/25587431484814806435209375084","16/09/2558","743148","48","148","06","435","209","375","084"
"01/09/25580210949409489260403068819","01/09/2558","021094","94","094","89","260","403","068","819"
"16/08/25580333636336340781227624648","16/08/2558","033363","63","363","40","781","227","624","648"
"01/08/25585186777767753333598648889","01/08/2558","518677","77","677","53","333","598","648","889"
"16/07/25581215070750749761461830294","16/07/2558","121507","07","507","49","761","461","830","294"
"01/07/25587590494904926565814081567","01/07/2558","759049","49","049","26","565","814","081","567"
"16/06/25586447424274205429253386532","16/06/2558","644742","42","742","05","429","253","386","532"
"02/06/25583888818188165314700876969","02/06/2558","388881","81","881","65","314","700","876","969"
"16/05/25580114212142138799484851928","16/05/2558","011421","21","421","38","799","484","851","928"
"02/05/25585434666646630818163366195","02/05/2558","543466","66","466","30","818","163","366","195"
"16/04/25585062606026038101164495973","16/04/2558","506260","60","260","38","101","164","495","973"
"01/04/25586057040470470558962557861","01/04/2558","605704","04","704","70","558","962","557","861"
"16/03/25580481515115192339622623757","16/03/2558","048151","51","151","92","339","622","623","757"
"01/03/25582402373723734498031857008","01/03/2558","240237","37","237","34","498","031","857","008"
"16/02/25580018646486490843103825392","16/02/2558","001864","64","864","90","843","103","825","392"
"01/02/25581555373753779083286813008","01/02/2558","155537","37","537","79","083","286","813","008"
"16/01/25582443515135174068398595877","16/01/2558","244351","51","351","74","068","398","595","877"
"30/12/25574617040470457853982535950","30/12/2557","461704","04","704","57","853","982","535","950"
"16/12/25579483545435490080763775901","16/12/2557","948354","54","354","90","080","763","775","901"
"01/12/25574804494944911820380580161","01/12/2557","480449","49","449","11","820","380","580","161"
"16/11/25574798040480425179422480709","16/11/2557","479804","04","804","25","179","422","480","709"
"01/11/25572066080860844607203855979","01/11/2557","206608","08","608","44","607","203","855","979"
"16/10/25576564090940994647784848910","16/10/2557","656409","09","409","94","647","784","848","910"
"01/10/25573756151561544251086159520","01/10/2557","375615","15","615","44","251","086","159","520"
"16/09/25577722696926935112257342790","16/09/2557","772269","69","269","35","112","257","342","790"
"01/09/25578567636376322308912477490","01/09/2557","856763","63","763","22","308","912","477","490"
"16/08/25576628424284291639912187633","16/08/2557","662842","42","842","91","639","912","187","633"
"01/08/25577663919139182349576623637","01/08/2557","766391","91","391","82","349","576","623","637"
"16/07/25574687282872845104944117205","16/07/2557","468728","28","728","45","104","944","117","205"
"01/07/25573784777747739123271441864","01/07/2557","378477","77","477","39","123","271","441","864"
"16/06/25576739202092095158140639576","16/06/2557","673920","20","920","95","158","140","639","576"
"01/06/25577811989819818160324409636","01/06/2557","781198","98","198","18","160","324","409","636"
"16/05/25570875232352320150505112246","16/05/2557","087523","23","523","20","150","505","112","246"
"02/05/25571032979729752143158673797","02/05/2557","103297","97","297","52","143","158","673","797"
"16/04/25571534060640626344013355634","16/04/2557","153406","06","406","26","344","013","355","634"
"01/04/25570288666686695186499835938","01/04/2557","028866","66","866","95","186","499","835","938"
"16/03/25575314040440479250305400904","16/03/2557","531404","04","404","79","250","305","400","904"
"01/03/25579063181831835116537753798","01/03/2557","906318","18","318","35","116","537","753","798"
"16/02/25573842454524501397530074521","16/02/2557","384245","45","245","01","397","530","074","521"
"01/02/25571801494914995406492888976","01/02/2557","180149","49","149","95","406","492","888","976"
"16/01/25573069020290252242077149510","16/01/2557","306902","02","902","52","242","077","149","510"
"30/12/25565610727207248513750503275","30/12/2556","561072","72","072","48","513","750","503","275"
"16/12/25563417676776779111228742826","16/12/2556","341767","67","767","79","111","228","742","826"
"01/12/25561687959579527734766074980","01/12/2556","168795","95","795","27","734","766","074","980"
"16/11/25568069252592528069304672753","16/11/2556","806925","25","925","28","069","304","672","753"
"01/11/25567398040480447502020256173","01/11/2556","739804","04","804","47","502","020","256","173"
"16/10/25569632898928960402529876952","16/10/2556","963289","89","289","60","402","529","876","952"
"01/10/25566478828288214576324650028","01/10/2556","647882","82","882","14","576","324","650","028"
"16/09/25565626848468463056235574754","16/09/2556","562684","84","684","63","056","235","574","754"
"01/09/25565481232312305281570800045","01/09/2556","548123","23","123","05","281","570","800","045"
"16/08/25563213272732720417945448201","16/08/2556","321327","27","327","20","417","945","448","201"
"01/08/25563564353543582880451718329","01/08/2556","356435","35","435","82","880","451","718","329"
"16/07/25565669969699686352210584526","16/07/2556","566996","96","996","86","352","210","584","526"
"01/07/25566469050590551075284903904","01/07/2556","646905","05","905","51","075","284","903","904"
"16/06/25562896737367369390098114502","16/06/2556","289673","73","673","69","390","098","114","502"
"01/06/25569354898948990480713716768","01/06/2556","935489","89","489","90","480","713","716","768"
"16/05/25566871252512556034261390945","16/05/2556","687125","25","125","56","034","261","390","945"
"02/05/25566034585845807272359516830","02/05/2556","603458","58","458","07","272","359","516","830"
"16/04/25568438464684686834862906828","16/04/2556","843846","46","846","86","834","862","906","828"
"01/04/25565716888868853170430670725","01/04/2556","571688","88","688","53","170","430","670","725"
"16/03/25569684333343352860959175529","16/03/2556","968433","33","433","52","860","959","175","529"
"01/03/25569762414124137972721133775","01/03/2556","976241","41","241","37","972","721","133","775"
"16/02/25563682575725709657708109386","16/02/2556","368257","57","257","09","657","708","109","386"
"01/02/25565655666656666452695641782","01/02/2556","565566","66","566","66","452","695","641","782"
"16/01/25568209818198108555196374334","16/01/2556","820981","81","981","08","555","196","374","334"
"30/12/25553023585835800589864126832","30/12/2555","302358","58","358","00","589","864","126","832"
"16/12/25555295242452472734745778008","16/12/2555","529524","24","524","72","734","745","778","008"
"01/12/25551104434344343434553489303","01/12/2555","110443","43","443","43","434","553","489","303"
"16/11/25556395000050015576560804627","16/11/2555","639500","00","500","15","576","560","804","627"
"01/11/25555246949469463217188285338","01/11/2555","524694","94","694","63","217","188","285","338"
"16/10/25552813434334328152089396868","16/10/2555","281343","43","343","28","152","089","396","868"
"01/10/25551240252502558940554291873","01/10/2555","124025","25","025","58","940","554","291","873"
"16/09/25555401434314379242752123770","16/09/2555","540143","43","143","79","242","752","123","770"
"01/09/25553299979799707736598148639","01/09/2555","329997","97","997","07","736","598","148","639"
"16/08/25556838777787728032612775730","16/08/2555","683877","77","877","28","032","612","775","730"
"01/08/25558955909059050820599796745","01/08/2555","895590","90","590","50","820","599","796","745"
"16/07/25559040505005011897224159042","16/07/2555","904050","50","050","11","897","224","159","042"
"01/07/25559159000090060715656530611","01/07/2555","915900","00","900","60","715","656","530","611"
"16/06/25551593737337351238790479547","16/06/2555","159373","73","373","51","238","790","479","547"
"01/06/25558827272772738606576895399","01/06/2555","882727","27","727","38","606","576","895","399"
"16/05/25558144181841831504309902101","16/05/2555","814418","18","418","31","504","309","902","101"
"02/05/25558895010150129589597426468","02/05/2555","889501","01","501","29","589","597","426","468"
"16/04/25555834707047062216088722754","16/04/2555","583470","70","470","62","216","088","722","754"
"01/04/25552575626256269581074616332","01/04/2555","257562","62","562","69","581","074","616","332"
"16/03/25556070646406408606333573350","16/03/2555","607064","64","064","08","606","333","573","350"
"01/03/25552225181851879295135711199","01/03/2555","222518","18","518","79","295","135","711","199"
"16/02/25556486848468418906214111420","16/02/2555","648684","84","684","18","906","214","111","420"
"01/02/25553206050560532749426498598","01/02/2555","320605","05","605","32","749","426","498","598"
"16/01/25554514454544581328150941639","16/01/2555","451445","45","445","81","328","150","941","639"
"30/12/25545264020240265168026541597","30/12/2554","526402","02","402","65","168","026","541","597"
"16/12/25548841787817821784235651295","16/12/2554","884178","78","178","21","784","235","651","295"
"01/12/25544081474714702922253857739","01/12/2554","408147","47","147","02","922","253","857","739"
"16/11/25549977777777757425551406993","16/11/2554","997777","77","777","57","425","551","406","993"
"01/11/25548055404054054771380065221","01/11/2554","805540","40","540","54","771","380","065","221"
"16/10/25549557565675683991057329507","16/10/2554","955756","56","756","83","991","057","329","507"
"01/10/25545110525205215957104189499","01/10/2554","511052","52","052","15","957","104","189","499"
"16/09/25547311989819828384645812589","16/09/2554","731198","98","198","28","384","645","812","589"
"01/09/25547245333353385847021533821","01/09/2554","724533","33","533","85","847","021","533","821"
"16/08/25545369606096062814345074005","16/08/2554","536960","60","960","62","814","345","074","005"
"01/08/25542187565675612703583660221","01/08/2554","218756","56","756","12","703","583","660","221"
"16/07/25541165565655612227052534609","16/07/2554","116556","56","556","12","227","052","534","609"
"01/07/25546229535395351390160780463","01/07/2554","622953","53","953","51","390","160","780","463"
"16/06/25543512767627688486167162582","16/06/2554","351276","76","276","88","486","167","162","582"
"01/06/25545623707037046656346801556","01/06/2554","562370","70","370","46","656","346","801","556"
"16/05/25544064171741705700044071889","16/05/2554","406417","17","417","05","700","044","071","889"
"02/05/25540541363613685421945133524","02/05/2554","054136","36","136","85","421","945","133","524"
"16/04/25548259888898844263213397593","16/04/2554","825988","88","988","44","263","213","397","593"
"01/04/25548149313193101723584040036","01/04/2554","814931","31","931","01","723","584","040","036"
"16/03/25545933313133196209945463737","16/03/2554","593331","31","331","96","209","945","463","737"
"01/03/25546560373703797544357926396","01/03/2554","656037","37","037","97","544","357","926","396"
"16/02/25544817464674627535510384388","16/02/2554","481746","46","746","27","535","510","384","388"
"01/02/25546100898908955596361121432","01/02/2554","610089","89","089","55","596","361","121","432"
"16/01/25542810626206223227185758546","16/01/2554","281062","62","062","23","227","185","758","546"
"30/12/25538841121211249936153186933","30/12/2553","884112","12","112","49","936","153","186","933"
"16/12/25533343808038024529315533306","16/12/2553","334380","80","380","24","529","315","533","306"
"01/12/25531817525275209664470474086","01/12/2553","181752","52","752","09","664","470","474","086"
"16/11/25538139939399343763979907129","16/11/2553","813993","93","993","43","763","979","907","129"
"01/11/25531911000010059653968801739","01/11/2553","191100","00","100","59","653","968","801","739"
"16/10/25536213777737742310518385872","16/10/2553","621377","77","377","42","310","518","385","872"
"01/10/25534883727237202091996003246","01/10/2553","488372","72","372","02","091","996","003","246"
"16/09/25530174222242266103316431075","16/09/2553","017422","22","422","66","103","316","431","075"
"01/09/25533546565665611784570656096","01/09/2553","354656","56","656","11","784","570","656","096"
"16/08/25539110979709764986578448689","16/08/2553","911097","97","097","64","986","578","448","689"
"01/08/25532100080800810769182727191","01/08/2553","210008","08","008","10","769","182","727","191"
"16/07/25531803878738734309219572024","16/07/2553","180387","87","387","34","309","219","572","024"
"01/07/25534802393923968893450918961","01/07/2553","480239","39","239","68","893","450","918","961"
"16/06/25535001040410473200628681816","16/06/2553","500104","04","104","73","200","628","681","816"
"01/06/25534448747487481374298996673","01/06/2553","444874","74","874","81","374","298","996","673"
"16/05/25534800121201212293151770008","16/05/2553","480012","12","012","12","293","151","770","008"
